restaurant;online_order;book_table;rate;votes;phone;location;rest_type;dish_liked;cuisines;address;approx_cost;listed_in_type
"Potato House";Yes;No;3.4;9;"+91 7829800010";Uttarahalli;"Quick Bites";NULL;"Street Food";"9, Canara Bank Colony, Opposite Chikkalsandra Post Office, Main Road, Uttarahalli, Bangalore";200;Delivery
"Hotel Biriyani Counter";No;No;NULL;0;"+91 9739944300";"Vijay Nagar";"Quick Bites";NULL;"North Indian, Chinese, Biryani";"1108/1, 9th Main Road, 4th Cross, Hampinagar, Vijay Nagar, Bangalore, Bengaluru";350;Delivery
"Matru Sagar";Yes;No;3.7;31;"+91 9342250609";"Mysore Road";"Quick Bites";NULL;"South Indian, North Indian";"Sri Balaji Complex, 339/3, Kuvempu Nagar, Next to Bus Stand, Mysore Road, Bangalore";300;Delivery
Ugadi;Yes;No;2.9;177;"+91 9742231320";Jayanagar;"Casual Dining";"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha";"North Indian, Chinese, Biryani, Andhra, Mangalorean";"609, 10th A Main Road, 4th Block, Jayanagar, Bangalore";700;Delivery
"Sri Krishna Sweets";Yes;No;3.7;22;"080 26603727";Basavanagudi;"Sweet Shop";NULL;"Mithai, Desserts";"121, DVG Road, R.M Complex, Basavanagudi, Bangalore";250;Delivery
"In Time Cane Juice";Yes;No;3.5;10;"+91 8867636488";"Kumaraswamy Layout";"Beverage Shop";NULL;"Juices, Beverages";"119, 5th Cross, Teachers Colony, Kumaraswamy Layout, Bangalore";100;Delivery
Subway;Yes;No;3.7;136;"080 42136088
080 26719446";Banashankari;"Quick Bites";"Veggie Delight, Paneer Tikka, Salad";"Salad, Fast Food";"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore";600;Delivery
"Daal Roti";Yes;No;2.9;35;"+91 9845696838";"Kumaraswamy Layout";"Quick Bites";NULL;"North Indian, Chinese";"139, Behind Police Station, 72nd Cross, Kumaraswamy Layout, Bangalore";250;Delivery
"The Lassi Park";Yes;No;4.1;185;"+91 8095957665";Jayanagar;"Quick Bites";"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge";"Juices, Desserts";"22nd Cross, New Diagonal Road, Opposite N MKRV Womens College, 3rd Block, Jayanagar, Bangalore";200;Delivery
"Cafe Coffee Day";Yes;No;3.2;17;"+91 9071381447";Jayanagar;Cafe;NULL;"Cafe, Fast Food";"28th Main, 8th Block, Jayanagar, Bangalore";900;Delivery
"A2B - Adyar Ananda Bhavan";Yes;No;3.8;155;"080 26746999
080 26748999";"Mysore Road";"Casual Dining";"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath";"South Indian, North Indian, Chinese, Street Food";"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore";400;Delivery
"Srikrishna Bhavan";Yes;No;3.8;42;"+91 9590895055
+91 9845664745";Banashankari;"Quick Bites";"Roti, Masala Dosa";"South Indian, North Indian, Chinese";"Next To BMTC Bus Stand, Banashankari, Bangalore";300;Delivery
"Timepass Dinner";Yes;No;3.8;286;"+91 9980040002
+91 9980063005";Basavanagudi;"Casual Dining";"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice";"North Indian";"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore";600;Delivery
"Green Gardenia";Yes;No;3.8;160;"080 26698822
+91 9945704570";Banashankari;"Casual Dining";"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti";"North Indian, Chinese";"376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore";700;Delivery
"J Spice";Yes;No;3.8;59;"+91 8026739252
+91 9008520007";Banashankari;"Casual Dining";"Stuffed Mushroom, Chicken Biryani, Jal-jeera";"North Indian, Chinese";"632/A, 24th Cross, 2nd Stage, Banashankari, Bangalore";750;Delivery
"Karavali Family Restaurant";Yes;No;3.5;90;"+91 7019082164
+91 7019082163";Jayanagar;"Casual Dining";NULL;"Seafood, Biryani, South Indian, North Indian, Chinese";"13, 27th B Cross, 10th Main, Opposite BWSSB Water Tank, Geetha Colony, 4th Block, Jayanagar, Bangalore";500;Delivery
"Karavali Lunch Home";Yes;No;3.7;51;"+91 9900690959
+91 9986141386";"Kumaraswamy Layout";"Quick Bites";NULL;"South Indian, Mangalorean";"1779, 14th Main, Kumaraswamy Layout, Bangalore";350;Delivery
"Hatti Kaapi";Yes;No;4;89;"080 40942666";Jayanagar;"Quick Bites";"Filter Coffee, Tea, Hot Coffee, Hatti Samosa";"South Indian, Beverages";"126, Opposite Police Station, 7th Main, 4th Block, Jayanagar, Bangalore";200;Delivery
"Kolkata Kathi Roll's";Yes;No;3.6;18;"+91 9036585008";Banashankari;"Quick Bites";NULL;"Fast Food, Rolls";"2/1,7th Main, Dwarakangar Hosakerehalli, Banashankari, Bangalore";250;Delivery
"Upahara Darshini";Yes;No;3.9;40;"080 22454581";Basavanagudi;"Casual Dining";"Masala Dosa";"North Indian, Chinese, South Indian, Fast Food";"9/2, South End Main Road, Next to Surana College, Basavanagudi, Bangalore";600;Delivery
"The Chaat Shop";Yes;No;2.5;35;"+91 9066510817";Basavanagudi;"Quick Bites";"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet";"Fast Food";"11/4, Old Market Road, V V Puram, Basavanagudi, Bangalore";200;Delivery
"Anda Ka Funda";Yes;No;3.4;89;"+91 7022727051";Jayanagar;"Quick Bites";NULL;"North Indian, Chinese, Rolls";"433/30/1, 10th Main, 28th A cross, 4th Block, Jayanagar, Bangalore";250;Delivery
"Shri Vinayaka Ice N Juice";Yes;No;3.2;11;"+91 9448090792
+91 9481201127";Basavanagudi;"Quick Bites";NULL;"Beverages, Fast Food";"14/38, Shivakrupa, 1st Model House Street, Near Nagasnadra Circle, DVG Road, Basavanagudi, Bangalore";150;Delivery
"My Tea House";Yes;No;3.6;62;"080 65975430
+91 7337733798";Banashankari;"Quick Bites, Cafe";"Pasta, Iced Tea";"Italian, Fast Food, Cafe, European";"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore";600;Delivery
Ibaco;Yes;No;3.9;33;"+91 9731482129
+91 9164620821";Jayanagar;"Dessert Parlor";NULL;Desserts;"147, 27th Cross, 3rd Main, 6th Block, Yediyur, Jayanagar, Bangalore";300;Delivery
"Jalaram Sweets";Yes;No;3.8;32;"+91 8022447956
+91 9880097093";Jayanagar;"Sweet Shop";NULL;"Desserts, Mithai";"202F, 27th Cross Road, Opposite Sapna Book House, Jayanagar, Bangalore";250;Delivery
"Samskruti - Sanman Gardenia";Yes;No;4.1;139;"080 26570711
+91 9663684499";Jayanagar;"Casual Dining";"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka";"North Indian, Chinese, South Indian";"2, Ashoka Pillar Circle, 2nd Block, Jayanagar, Bangalore";550;Delivery
"Bendakaluru Bytes";Yes;No;3.2;154;"+91 9972777362";"Vijay Nagar";"Quick Bites";NULL;"Fast Food";"1349, 4th Cross Road, Kilkodungalur, RPC Layout, Vijay Nagar, Bangalore";300;Delivery
"Cocoa Bakes";Yes;No;3.6;14;"080 26711320
+91 9449949862";Banashankari;Bakery;NULL;"Bakery, Desserts";"2466, 24th Cross Road, Siddanna Layout, Stage II, Banashankari, Bangalore";350;Delivery
"Chumma Delicious";Yes;No;3.7;237;"+91 9341262402
+91 9108648373";Banashankari;"Quick Bites";"Chicken Biryani";"South Indian, Fast Food";"412, 1st Cross, Vidyapeeta Road, 3rd Stage, Banashankari, Bangalore";200;Delivery
"New Prashanth Hotel";Yes;No;3.9;388;"080 49569558
+91 8197819686";Banashankari;"Casual Dining";"Chicken Biryani, Ragi Mudde, Mutton Chops";"Biryani, North Indian, Seafood, Andhra";"43/2, 100 Feet Road, Kamakya Complex, 3rd Stage, Banashankari, Bangalore";650;Delivery
"SSV Upahar";Yes;No;NULL;0;"+91 7022622678";Jayanagar;"Quick Bites";NULL;"South Indian, Chinese";"14/1, 8th Fmain, 3rd Block, Jayanagar, Bangalore";300;Delivery
"Dwaraka Grand";Yes;No;3.9;128;"+91 9448214873";"Kumaraswamy Layout";"Casual Dining";"Masala Dosa, Coffee";"South Indian, Chinese, Street Food, Juices";"Near dayananda sagar college kumarswamy layout";500;Delivery
"Gufha - The President Hotel";Yes;Yes;4.1;1875;"080 41808777
+91 9900265022";Jayanagar;"Casual Dining";"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry";"North Indian, Afghani, Mughlai";"The President Hotel, 79/8, Diagonal Road, 3rd Block, Jayanagar, Bangalore";1,200;Delivery
"Cafe Vivacity";Yes;No;3.8;90;"080 26768182
+91 9845704455";Banashankari;Cafe;"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges";Cafe;"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore";650;Delivery
"Tanna's Kitchen";Yes;No;3.1;7;"+91 8904179298";"Kumaraswamy Layout";"Quick Bites";NULL;"Italian, Chinese, Street Food";"#72, 3rd Cross DSI Road, Teachers Colony, Kumaraswamy Layout, Bangalore";250;Delivery
"Shree Mandarathi Grand";Yes;No;3.7;38;"+91 9686059839
+91 8048668789";Uttarahalli;"Casual Dining";NULL;"South Indian, North Indian";"8/10, Subramanyapura Main Road, Near Royal Mart, Uttarahalli, Bangalore";400;Delivery
"Mojo Pizza - 2X Toppings";Yes;No;4.2;179;"022 33252828";Banashankari;Delivery;"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer";Pizza;"287, 1st Floor, 7th Block, 100 Feet Ring Road, Phase 4, Banashankari, Bangalore";600;Delivery
"Iceberg Icecreams";Yes;No;4;43;"+91 9035709035";Basavanagudi;"Dessert Parlor";NULL;"Desserts, Ice Cream";"23/1, Shop Street Road, Basavanagudi, Bangalore";250;Delivery
"South Kitchen";Yes;No;4.3;275;"+91 9880980009";Basavanagudi;"Quick Bites";"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun";"South Indian";"1st Main Road, Near Katte Balaga, NR Colony, Basavanagudi, Bangalore";100;Delivery
"Chung Wah";Yes;No;3.7;323;"+91 9108945477
+91 9108945277";Jayanagar;"Casual Dining";"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings";"Chinese, Thai, Momos";"63, 18th Cross, 3rd Block, Jayanagar, Bangalore";850;Delivery
"Shanthi Sagar";Yes;No;3.1;28;"080 26392096
+91 9886056778";Uttarahalli;"Casual Dining";NULL;"South Indian, North Indian, Chinese";"24, Subramaniapura Main Road, Uttarahalli, Bangalore";400;Delivery
"Millet Mama";Yes;No;3.9;18;"+91 7411918648
+91 9986975625";Basavanagudi;"Quick Bites";NULL;"South Indian, Healthy Food";"Next To Surana College, South End Circle, Basavanagudi, Bangalore";200;Delivery
"Bangarpet Chat Express";Yes;No;3.3;6;"+91 9880546954";Basavanagudi;"Quick Bites";NULL;"Street Food, Fast Food";"318, Old market Road V.V.Puram, Basavanagudi, Bangalore";100;Delivery
"South Cool Point";Yes;No;NULL;0;"+91 9845343342";Basavanagudi;"Dessert Parlor";NULL;Beverages;"Near Metro Station R.v.Road, Basavanagudi, Bangalore";100;Delivery
"Prems Graama Bhojanam";Yes;No;4.3;322;"080 26630542
+91 9611980542";Jayanagar;"Casual Dining";"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice";"South Indian";"234, 32 A Cross, 2nd Main Road, 7th Block, Jayanagar, Bangalore";400;Delivery
"Java City";Yes;No;2.6;157;"080 41654693";Jayanagar;Cafe;"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza";"Cafe, American, Pizza";"63/2, 8th Main, 18th Cross, 3rd Block, Jayanagar, Bangalore";450;Delivery
"Kamat Bugle Rock";Yes;No;3.9;543;"080 26605734";Basavanagudi;"Quick Bites";"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani";"South Indian, Fast Food";"1, 5th Main Road, Bull Temple Road, Basavanagudi, Bangalore";300;Delivery
"Woodee Pizza";Yes;No;3.7;180;"+91 7406822844";Banashankari;Cafe;"Pizza, Garlic Bread";"Cafe, Pizza, Fast Food, Beverages";"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore";500;Delivery
"Puliyogare Point";Yes;No;4.2;444;"+91 9986953484
+91 9880156235";Basavanagudi;"Quick Bites";"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa";"South Indian";"81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore";100;Delivery
"Bangalore Agarwal Bhavan";Yes;No;3.9;134;"+91 9880988500
+91 9342943356";Jayanagar;"Quick Bites";"Paratha, Coffee, Halwa, Lassi";"Street Food, North Indian, South Indian";"36/1, 27th Cross, 4th Block, Jayanagar, Bangalore";400;Delivery
"Rustic Stove";Yes;No;3.8;577;"080 26547755
+91 9686372742";Jayanagar;"Casual Dining";"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish";"North Indian, South Indian, Biryani, Beverages";"13, 32nd Cross, 7th Block, Jayanagar, Bangalore";900;Delivery
"Udupi Ruchi Grand";Yes;No;4.2;60;"+91 9980816347";Banashankari;"Quick Bites";NULL;"South Indian, North Indian, Chinese, Street Food";"6th Block, 3rd Stage, Banashankari, Bangalore";200;Delivery
"De Thaali";Yes;No;3.9;144;"080 22445267";Jayanagar;"Casual Dining";"Malai Kofta, Sandwich, Naan";"North Indian, Chinese, Rolls";"137/4, 8th Main Road, 27th Cross, Jayanagar, Bangalore";550;Delivery
"Spice Elephant";Yes;No;4.1;787;"080 41714161";Banashankari;"Casual Dining";"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani";"Chinese, North Indian, Thai";"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore";800;Delivery
"Just Thindi";Yes;No;3.6;16;NULL;Basavanagudi;"Quick Bites";NULL;"South Indian";"27, Gandhi Bazaar Main Rd, Basavanagudi, Bangalore";200;Delivery
"Matru Sagar";Yes;No;3.6;84;"+91 9972368854";Banashankari;"Quick Bites";"Coffee, Masala Dosa";"South Indian, North Indian, Chinese";"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Near Girinagar, Banashankari, Bangalore";250;Delivery
"Vasanth Vihar - Since 1965";Yes;No;3.6;95;"+91 9148340856";Banashankari;"Quick Bites";NULL;"South Indian, Street Food";"78, Nagendra Block, Giri Nagar, II Phase, Banashankari,Bangalore";150;Delivery
"Sea Spice by 7 Star";Yes;Yes;4;349;"080 49653393";Banashankari;"Casual Dining";"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry";"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab";"1890, Shetty Gardenia, 9th Main, Kaverinagar, 2nd Stage, Banashankari, Bangalore";1,200;Delivery
"Desi Dawat";Yes;No;3.7;248;"+91 6363331588";"Kumaraswamy Layout";"Quick Bites";"Tandoori Chicken, Rolls";"North Indian, Fast Food";"1328, 50 Feet Road, Stage 1, Kumaraswamy Layout, Bangalore";400;Delivery
"Cafe Aira";Yes;No;4.1;216;"+91 9980570955
080 41121975";Basavanagudi;Cafe;"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles";"Cafe, Continental, Beverages, Desserts";"23, Kanakapura Road, Near SRS Petrol Pump, Lalbagh West Gate, Basavanagudi, Bangalore";500;Delivery
"Donne Biriyani combos";Yes;No;NULL;0;"+91 9743033337";"Kumaraswamy Layout";"Casual Dining";NULL;Biryani;"52, Dayanad Sagar, College Road, Teachers Colony, Kumaraswamy Layout, Bangalore";400;Delivery
"Penthouse Cafe";Yes;No;4;324;"+91 8884135549
+91 9449449316";Banashankari;Cafe;"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches";"Cafe, Italian, Continental";"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore";700;Delivery
"Mast Punjabi";Yes;No;2.6;231;"+91 7338562176";"Kumaraswamy Layout";"Quick Bites";"Aloo Paratha";"North Indian, Chinese, Rolls, Biryani, Kebab";"534, 49th Cross, 50 Feet Road, Kumaraswamy Layout, Bangalore";400;Delivery
"South Grand";Yes;No;3.4;102;"080 26394647";Uttarahalli;"Casual Dining";"Rava Dosa";"South Indian, North Indian, Chinese, Beverages";"23, 7th Main, KSRTC Layout, Chikkalsandra, Main Road, Uttarahalli, Bangalore";400;Delivery
Catch-up-ino;Yes;No;3.9;133;"+91 9972988038
+91 9900121238";Banashankari;Cafe;"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi";"Cafe, Fast Food, Continental, Chinese, Momos";"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore";800;Delivery
"The Pizzeria";Yes;No;2.8;45;"+91 9845154172
+91 9620344606";Banashankari;"Casual Dining";"Pesto Pizza";"Pizza, Italian, Salad";"1112, 30th Main,Teachers Layout, Next to SBI Bank, 3rd Stage, Banashankari, Bangalore";800;Delivery
"Cafe Zone";Yes;No;3.9;149;"+91 9036406040";"Kumaraswamy Layout";"Quick Bites";NULL;"Fast Food, Chinese, Rolls";"2nd Cross, JHBCS Layout, Kumaraswamy Layout, Bangalore";300;Delivery
"Ruchis Point";Yes;No;3.8;75;"+91 9901999970";Banashankari;"Quick Bites";"Sandwiches, Noodles, Sandwich";"Fast Food, Chinese";"186, 24th Cross, 2nd Stage, Banashankari, Bangalore";200;Delivery
"Firangi Bake";Yes;No;4;53;"+91 7710090007";"Rajarajeshwari Nagar";Delivery;"Lasagne, Steak, Masala Quesadilla, Garlic Bread";"Mexican, Italian";"8th Main Road, Remco Bhel Layout, Ideal Homes Township, Rajarajeshwari Nagar, Bengaluru";600;Delivery
"The Royal Corner - Pai Viceroy";Yes;Yes;4.2;815;"+91 9980909054
+91 9845184810";Jayanagar;"Casual Dining";"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian";"North Indian, Chinese";"Pai Viceroy, 1504, 16th Cross, 9th Main, 3rd Block, Jayanagar, Bangalore";900;Delivery
"Hara Fine Dine";Yes;Yes;4;633;"080 42112211
+91 9880412211";Banashankari;"Casual Dining";"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan";"North Indian, Chinese";"2465, 2nd Floor, Opposite BDA Complex, 24th Cross, 2nd Stage, Banashankari, Bangalore";800;Delivery
Chocoberry;Yes;No;3.5;56;"+91 9742644747";Jayanagar;"Dessert Parlor";"Waffles, Cup Cake, Chocolate Cake";"Ice Cream, Desserts, Beverages";"30, 8th F Main Road, Jayanagar, Bangalore";400;Delivery
"Dakshin Grand";Yes;No;3;82;"+91 8310436563";Banashankari;"Quick Bites";NULL;"South Indian, North Indian, Chinese, Street Food";"2, Subramanyapura, Kadirenahalli Overbridge Junction, 2nd Stage, Banashankari, Bangalore";300;Delivery
Sandwichwallas;Yes;No;3.7;35;"+91 9108076353
+91 7337726991";Jayanagar;"Quick Bites";NULL;"Fast Food";"278, 37th A Cross, 2nd Main, 8th Block, Jayanagar, Bangalore";200;Delivery
"Chai Mane";Yes;No;3.6;20;"+91 9606502508";Basavanagudi;"Quick Bites";NULL;"Juices, Fast Food";"17,Bull Temple, Road, Basavanagudi, Bangalore";150;Delivery
"SLV Upachar";Yes;No;3.1;14;"+91 9449347456";"Kumaraswamy Layout";"Quick Bites";NULL;"South Indian, Chinese, Street Food";"1328, 50 Feet Road, Kumaraswamy Layout, Bangalore";250;Delivery
"Waffle-A-Go Go";Yes;No;3.9;70;"+91 9900281611";Banashankari;"Dessert Parlor";Waffles;"Fast Food, Desserts, Ice Cream";"599, 24th Cross, 2nd Stage, Banashankari, Bangalore";400;Delivery
"Cross Road Cafe";Yes;No;3.9;91;"080 41247022";Jayanagar;Cafe;"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali";"Cafe, Fast Food, Chinese";"671,45th Cross, 8th Block, Near Metro Pillar EP 22, Jayanagar, Bangalore";300;Delivery
"Anand Donne Biriyani";Yes;No;3.6;45;"+91 8892398288";Jayanagar;"Quick Bites";NULL;Biryani;"644, 1 B, Main Road, Kanakapura Road, 8th Block, Jayanagar, Bangalore";200;Delivery
"Seven Star";Yes;No;3.4;7;"+91 9035117805
+91 9686616448";Banashankari;"Quick Bites";NULL;"North Indian, Chinese";"23/35, 7th Cross, Dwarakanagar, Hosakerhalli, Banashankari, Bangalore";250;Delivery
"Stop 'N' Joy";Yes;No;3.8;28;"+91 9741932387";Banashankari;"Quick Bites";NULL;"Fast Food";"30, 7th Cross, Dwaraka Nagar, Banashankari, Bangalore";150;Delivery
"Sri Yaksha Shiv Sagar";Yes;No;3.6;24;"+91 9731004414
00 26719449";Banashankari;"Casual Dining";NULL;"North Indian, Chinese";"940, 20th Main, Opposite South Entrance, BDA Complex, Banashankari, Bangalore";600;Delivery
Fudge;Yes;No;3.8;36;"+91 8105952525";Basavanagudi;"Dessert Parlor";NULL;"Desserts, Momos";"Sri Chakravarthi Complex, Sajjan Rao Circle, V.V. Puram, Basavanagudi, Bangalore";200;Delivery
"Just Bunny";Yes;No;3.5;11;"+91 9538040291";Jayanagar;"Quick Bites";NULL;"Fast Food";"45, 6th C Main Road, 4th Block, Jayanagar, Bangalore";200;Delivery
"Bakers Town";Yes;No;3.8;77;"+91 8884550298";"Kumaraswamy Layout";Cafe;"Freak Shake, Fries, Pasta Alfredo";"Cafe, Continental, Fast Food";"269, JHBCS Layout, 2nd Main Road, Teacher's Colony, Kumaraswamy Layout, Bangalore";650;Delivery
"Shree Mahalakshmi Sweets";Yes;No;3.2;8;"+91 7899900144";Banashankari;"Sweet Shop";NULL;"Mithai, Street Food";"344, 50 Feet Road, Dasarhalli, Srinagar, Banashankari, Bangalore";100;Delivery
"Kaapi Kendra";Yes;No;3.7;14;"+91 8277264556";Jayanagar;"Quick Bites";NULL;"South Indian";"278, 34th Cross Road, 4th Block, Jayanagar, Bangalore";100;Delivery
Ivy;Yes;No;3.8;210;"080 42292888";"Kumaraswamy Layout";"Casual Dining";"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken";"North Indian, Chinese, Fast Food";"1616, 50 Feet Main Road, 1st Stage, Kumaraswamy Layout, Bangalore";600;Delivery
"The Airos";Yes;No;4.1;130;"+91 7026390001";Jayanagar;Cafe;"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls";"Cafe, Italian, Pizza";"22, 2nd Main Road, National College Road, 7th Block, Jayanagar, Bangalore";650;Delivery
"Chai Kraft";Yes;No;4.1;30;"+91 9946666099";Jayanagar;"Beverage Shop";"Masala Chai, Coffee, Masala Tea, Maggi";"Beverages, Tea";"146, 6th C Main Road, 1st Block, Jayanagar, Bangalore";100;Delivery
"Kirthi's Biryani";Yes;No;3.8;144;"080 26711554
+91 9741406338";Banashankari;Cafe;"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails";"Chinese, Cafe, Italian";"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore";700;Delivery
"South Point Pub";Yes;No;3.4;11;"080 26563642
+91 9482717555";Basavanagudi;Bar;NULL;"North Indian, Seafood, Chinese";"54, Rashtriya Vidyalaya Road, 2nd Block, Basavanagudi, Bangalore";800;Delivery
"The Trundle";Yes;No;3.7;133;"+91 9986520008";Jayanagar;"Casual Dining";"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup";"Chinese, Thai, Continental, North Indian";"34/1, 2nd & 3rd Floor, 36th Cross, 6th Main, 4th Block, Jayanagar, Bangalore";700;Delivery
"The Krishna Grand Xpress";Yes;No;4;136;"+91 9845108265";Jayanagar;"Quick Bites";"Vada, Masala Dosa, Idli";"South Indian, Fast Food";"183/28, 2nd Main Road, 36th B Cross, 7th Block, Jayanagar, Bangalore";350;Delivery
"Sri Krishna Darshini";Yes;No;3.1;4;"+91 9845006344
080 26678386";Basavanagudi;"Quick Bites";NULL;"South Indian, North Indian, Chinese";"60/2, Sajjan Rao Circle, V V Puram, Basavanagudi, Bangalore";200;Delivery
"Shringar Sweets & Snacks";Yes;No;3.5;11;"+91 9606504043";Basavanagudi;"Sweet Shop, Quick Bites";NULL;"Mithai, South Indian, Street Food, Fast Food";"12, Ground Floor, R V Road, Near Southend Metro Station, Basavanagudi, Bangalore";200;Delivery
"Udupi Grand";Yes;No;3.8;74;"+91 9242115999
+91 9591322733";Basavanagudi;"Quick Bites";"Coffee, Masala Dosa, Vegetable Biryani";"South Indian, North Indian, Chinese";"49, South End Road, Nagasandra Circle, Basavanagudi, Bangalore";300;Delivery
"Ganesh Grand";Yes;No;3.7;30;"080 26700948";Basavanagudi;"Quick Bites";NULL;"South Indian, North Indian, Desserts";"91/1, Ganesh Mahal Building, Sirsi Road, Chamarajpet, Basavanagudi, Bangalore";300;Delivery
"Shreyas Upahar & Burger Point";Yes;No;3;7;"+91 9980990800";Basavanagudi;"Quick Bites";NULL;"South Indian, Burger";"Jain Temple Street, V.V.Puram, Basavanagudi, Bangalore";200;Delivery
"Coffee Tindi";Yes;No;3.8;75;"+91 9945758046";Banashankari;"Cafe, Quick Bites";NULL;"Cafe, South Indian";"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore";200;Delivery
"Little Cafe";Yes;No;3.7;54;"+91 9741248269";Basavanagudi;Cafe;"Pasta, Pizza, Burgers, Pancakes, Garlic Bread";"Cafe, Beverages";"21,National High School Road,VV Puram, Basavanagudi, Bangalore";600;Delivery
"Mumbai Badam Milk & Lassi Center";Yes;No;3.6;23;"+91 9739007875";Basavanagudi;Kiosk;NULL;"Beverages, Desserts";"11/3, Old Market Road, V V Puram, Basavanagudi, Bangalore";100;Delivery
"Sri Krishna Sagar";Yes;No;3.2;119;"+91 9035297404";Banashankari;"Casual Dining";NULL;"North Indian, Chinese";"22nd Cross, 22nd Main Road, 2nd Stage, Near BDA Complex, Banashankari, Bangalore";400;Delivery
"Mylari Biryani Family Restaurant";Yes;No;3.7;73;"+91 9945052728
+91 7022367179";Banashankari;"Quick Bites";NULL;"Biryani, Fast Food";"198, 2nd Block, 3rd Stage, Outer Ring Road, Banashankari, Bangalore";400;Delivery
"1980s Games Cafe";Yes;No;3.4;58;"080 41677077";Basavanagudi;Cafe;"Maggi, Pasta, Burgers, Sandwiches, Fries";"Cafe, Fast Food";"63, 1st Floor, Kanakapura Road, Basavanagudi, Bangalore";400;Delivery
"Kadala Tarangaa";Yes;No;3.6;129;"+91 9743491480
+91 9483528275";Banashankari;"Casual Dining";"Sea Food, Neer Dosa";"Mangalorean, Seafood, North Indian";"27, 27th Cross, 1st Floor, Kadamba Complex, 2nd Stage, Banashankari, Bangalore";600;Delivery
